less impos,more impos,politeness question,left of slider,right of slider
Terryは同僚に「部屋が[modifier]寒い」と言い、温度を上げてもらうように頼みます。,Terryは同僚に、「部屋が[modifier]寒い」と言い、温度調整室に行って温度を上げてもらうように頼みます。,How polite is Terry being?,Not polite at all,As polite as possible
授業中、Anniは担任の先生に「空調が[modifier]寒い」と伝え、設定を変えるように頼みます。,一日だけ特別に訪問している有名なゲスト講師の授業中、Anniは講師に「空調が[modifier]寒い」と伝え、設定を変えるように頼みます。,How polite is Anni being?,Not polite at all,As polite as possible
タクシーに乗っている最中、ダンは運転手に「[modifier]寒いです」と伝え、空調を下げるようにお願いします。,公共バスに乗っている最中、ダンは運転手に「[modifier]寒いです」と伝え、空調を下げるようにお願いします。,How polite is Dan being?,Not polite at all,As polite as possible
レストランで、店員がメリッサが上着を着ているのを見て「寒くないですか」と尋ねます。メリッサは「エアコンが[modifier]寒いです」と言い、設定を変えるように頼みます。,レストランで、Melissaは店員に「エアコン、[modifier] 寒いです」と言い、設定を変えるように頼みます。,How polite is Melissa being?,Not polite at all,As polite as possible
"Dan は Mary の家で開かれたゲームナイトに参加しています。
　Dan は Mary に「ここ[modifier] 寒い」と言い、コート掛けにかかっている上着を手渡してもらいます。",Dan は Mary の家で開かれたゲームナイトに参加しています。Dan は Mary に「ここ[modifier] 寒い」と言い、温度を上げてもらうように頼みます。,How polite is Dan being?,Not polite at all,As polite as possible
先に昼休みに入った同僚が、隣で友人と電話しています。Lisaは同僚に「声が[modifier]大きい」と言い、静かにするように頼みます。,同僚が電話でクライアントと話しています。Lisaは同僚に「声が[modifier]大きい」と言い、静かにするように頼みます。,How polite is Lisa being?,Not polite at all,As polite as possible
"Amyは自分の部屋で体調が悪くて寝込んでいますが、同居人のJakeがリビングでピアノの練習をしています。
Amy はJakeに、「音が[modifier]大きいよ」と言い、音量を下げるように頼みます。","Amyは自分の部屋でゲームをしていますが、同居人のJakeがリビングでピアノの練習をしています。
Amy はJakeに、「音が[modifier]大きいよ」と言い、音量を下げるように頼みます。",How polite is Amy being?,Not polite at all,As polite as possible
Sarahは友人とレストランにいます。店員に「音量が[modifier]大きい」と言い、音量を下げるように頼みます。,Sarahは友人とレストランにいます。店員に「音量が[modifier]大きくて会話が楽しめない」と言い、音量を下げるように頼みます。,How polite is Sarah being?,Not polite at all,As polite as possible
Claireは試験に向けて勉強していますが、兄がリビングでゲームをしています。Claireは「音が[modifier]大きいよ」と言い、静かにするように頼みます。,Claireは試験に向けて勉強していますが、兄とその友達がリビングで誕生日パーティーをしています。Claireは「音が[modifier]大きいよ」と言い、静かにするように頼みます。,How polite is Claire being?,Not polite at all,As polite as possible
授業中、Alexの近くに座っている学生たちが大きな声で喋っています。Alexは彼らに「声が[modifier]大きくて授業の邪魔になっている」と言い、声を小さくするように頼みます。,授業中、Alexの近くに座っている学生たちが大きな声で喋っています。Alexは彼らに「声が[modifier]大きい」と言い、声を小さくするように頼みます。,How polite is Alex being?,Not polite at all,As polite as possible
Tomと同居人のJordanは友人を家に招待しています。TomはJordanに「ソファーの上[modifier]散らかっている」と言い、客が来る前に自分の物を片付けるように頼みます。,Tomと同居人のJordanは友人を家でもてなしています。Tomは同僚を家に案内しながらJordanに「ソファーの上[modifier]散らかっている」と言い、自分の物を片付けるように頼みます。,How polite is Tom being?,Not polite at all,As polite as possible
Emmaは授業の課題に一緒に取り組むため、Chloeのアパートにいます。机の上のノートやお菓子の包み紙などを見たEmmaは、「この部屋、[modifier]散らかってるね」と言い、作業を始める前に一緒に片付けます。,Emmaは授業の課題に一緒に取り組むため、Chloeのアパートのリビングにいます。デスクランプを借りるためにChloeの寝室に入ったEmmaは「寝室、散らかってるね。」と言います。,How polite is Emma being?,Not polite at all,As polite as possible
LeoはNoahのアパートに勉強しにきています。Leoは「この机、[modifier]散らかってるね」と言い、始める前に整頓するように頼みます。,LeoはNoahのアパートに勉強しにきています。勉強を机にすわり、キッチンを見たLeo「キッチン[modifier]散らかってるね」と言います。,How polite is Leo being?,Not polite at all,As polite as possible
Rachelは、Sophieと一緒にコンサートに行くため、Sophieを迎えに来ます。Rachelは道がボコボコで載せていたものが車に散らばってしまったといいます。Sophieは「ほんとだ。車、[modifier] 散らかってるね」と言い、一緒に掃除してから出発します。,Rachelは、Sophieと一緒にコンサートに行くため、Sophieを迎えに来ます。床にゴミが落ちているのを見つけ、Sophieは「車、[modifier] 散らかってるね」と言い、一緒に掃除してから出発します。,How polite is Sophie being?,Not polite at all,As polite as possible
同僚の達也のデスクが資料で溢れかえっています。それを見たLiamは、「デスク、[modifier]散らかっている」と言い、Liamのクライアントが来る前に片付けるように頼みます。,同僚の達也は、プロジェクトの締め切り間近で忙しく、デスクが資料で溢れかえっています。それを見たLiamは「デスク、[modifier]散らかっている」と言い、Liamのクライアントが来る前に片付けるように頼みます。,How polite is Liam being?,Not polite at all,As polite as possible
Jamesは同僚に今週の業務ミーティングについて話しています。Jamesは同僚の報告が「[modifier]長かったよ」と言い、より簡潔にまとめるように勧めます。,Jamesは同僚に今週の業務ミーティングについて話しています。Jamesは同僚の報告が「[modifier]長くてミーティングが長引いたよ」と言い、より簡潔にまとめるように勧めます。,How polite is James being?,Not polite at all,As polite as possible
Billは授業でプレゼン練習をしました。Anaは、それに対して「導入部分が[modifier]長くてわかりにくかった。」と言い、本番ではより簡潔にまとめるように勧めます。,Billは授業でプレゼンをしました。それに対してAnaは「導入部分が[modifier]長くてわかりにくかったよ。」と言い、次からはより簡潔にまとめるように勧めます。,How polite is Anna being?,Not polite at all,As polite as possible
